Date,Total_Planes
2010-01,17069
2010-02,15816
2010-03,17284
2010-04,17115
2010-05,18168
2010-06,17564
2010-07,18834
2010-08,19382
2010-09,18293
2010-10,18669
2010-11,17976
2010-12,18665
2011-01,19393
2011-02,17384
2011-03,18736
2011-04,18252
2011-05,19087
2011-06,18840
2011-07,20023
2011-08,20411
2011-09,19196
2011-10,19770
2011-11,18743
2011-12,19745
2012-01,20238
2012-02,18850
2012-03,20032
2012-04,19863
2012-05,20818
2012-06,20590
2012-07,22374
2012-08,22818
2012-09,21722
2012-10,22515
2012-11,21608
2012-12,22609
2013-01,23153
2013-02,21043
2013-03,22591
2013-04,21595
2013-05,22586
2013-06,21741
2013-07,23585
2013-08,24098
2013-09,22440
2013-10,22881
2013-11,22095
2013-12,23416
2014-01,23980
2014-02,21541
2014-03,23574
2014-04,22858
2014-05,23926
2014-06,23321
2014-07,25168
2014-08,26271
2014-09,24511
2014-10,25291
2014-11,24183
2014-12,25419
2015-01,26324
2015-02,23909
2015-03,25669
2015-04,25100
2015-05,26145
2015-06,24131
2015-07,23097
2015-08,25695
2015-09,25597
2015-10,26837
2015-11,25758
2015-12,27184
2016-01,27817
2016-02,26287
2016-03,27569
2016-04,26852
2016-05,27940
2016-06,27462
2016-07,29921
2016-08,30360
2016-09,28593
2016-10,29466
2016-11,28086
2016-12,29320
2017-01,30340
2017-02,27478
2017-03,29336
2017-04,28187
2017-05,29440
2017-06,28910
2017-07,31175
2017-08,31893
2017-09,30117
2017-10,31396
2017-11,30127
2017-12,31896
2018-01,33171
2018-02,29902
2018-03,32383
2018-04,30964
2018-05,32089
2018-06,31641
2018-07,33029
2018-08,33804
2018-09,31721
2018-10,33081
2018-11,32144
2018-12,33568
2019-01,34292
2019-02,31069
2019-03,34187
2019-04,32930
2019-05,34207
2019-06,33699
2019-07,35228
2019-08,35566
2019-09,32826
2019-10,33395
2019-11,32209
2019-12,34496
2020-01,35718
2020-02,26803
2020-03,9861
2020-04,6659
2020-05,7747
2020-06,7581
2020-07,8155
2020-08,8452
2020-09,9098
2020-10,9443
2020-11,10000
2020-12,10465
2021-01,10160
2021-02,9021
2021-03,11154
2021-04,11006
2021-05,10903
2021-06,10808
2021-07,10980
2021-08,10554
2021-09,11025
2021-10,11635
2021-11,11852
2021-12,11929
2022-01,11281
2022-02,9630
2022-03,11342
2022-04,10663
2022-05,12019
2022-06,13035
2022-07,14932
2022-08,16033
2022-09,14928
2022-10,16822
2022-11,19032
2022-12,21536
2023-01,22586
2023-02,21235
2023-03,23892
2023-04,25218
2023-05,28154
2023-06,27923
2023-07,30706
2023-08,31262
2023-09,30109
2023-10,31721
2023-11,31041
2023-12,33452
2024-01,34334
2024-02,32158
2024-03,33638
2024-04,32523
2024-05,34084
