,Date,Total_Planes
0,1992-01,17671
1,1992-02,16809
2,1992-03,18452
3,1992-04,19660
4,1992-05,20758
5,1992-06,20609
6,1992-07,21995
7,1992-08,21825
8,1992-09,21053
9,1992-10,21038
10,1992-11,19989
11,1992-12,18953
12,1993-01,19798
13,1993-02,17628
14,1993-03,20513
15,1993-04,21428
16,1993-05,22602
17,1993-06,22279
18,1993-07,24117
19,1993-08,24101
20,1993-09,22977
21,1993-10,22979
22,1993-11,20781
23,1993-12,20472
24,1994-01,21093
25,1994-02,19205
26,1994-03,22031
27,1994-04,22404
28,1994-05,24141
29,1994-06,23542
30,1994-07,24920
31,1994-08,25090
32,1994-09,23967
33,1994-10,23943
34,1994-11,22070
35,1994-12,21658
36,1995-01,22516
37,1995-02,20845
38,1995-03,23661
39,1995-04,23507
40,1995-05,25387
41,1995-06,24412
42,1995-07,26186
43,1995-08,26442
44,1995-09,25013
45,1995-10,25373
46,1995-11,23870
47,1995-12,23478
48,1996-01,24044
49,1996-02,22541
50,1996-03,25003
51,1996-04,26005
52,1996-05,28114
53,1996-06,27325
54,1996-07,29494
55,1996-08,29499
56,1996-09,28351
57,1996-10,28893
58,1996-11,26544
59,1996-12,25967
60,1997-01,26314
61,1997-02,24440
62,1997-03,27763
63,1997-04,28752
64,1997-05,30430
65,1997-06,29550
66,1997-07,31545
67,1997-08,31365
68,1997-09,30248
69,1997-10,31046
70,1997-11,28978
71,1997-12,29045
72,1998-01,29933
73,1998-02,27914
74,1998-03,30939
75,1998-04,30650
76,1998-05,32750
77,1998-06,31904
78,1998-07,34512
79,1998-08,33964
80,1998-09,32164
81,1998-10,32684
82,1998-11,30021
83,1998-12,29375
84,1999-01,29640
85,1999-02,27526
86,1999-03,31473
87,1999-04,32013
88,1999-05,34133
89,1999-06,33426
90,1999-07,35529
91,1999-08,35625
92,1999-09,34411
93,1999-10,35126
94,1999-11,33183
95,1999-12,31521
96,2000-01,32537
97,2000-02,31894
98,2000-03,34263
99,2000-04,33816
100,2000-05,36539
101,2000-06,35206
102,2000-07,37108
103,2000-08,37258
104,2000-09,35496
105,2000-10,36170
106,2000-11,32902
107,2000-12,31739
108,2001-01,32835
109,2001-02,30436
110,2001-03,34529
111,2001-04,34157
112,2001-05,37255
113,2001-06,36209
114,2001-07,38386
115,2001-08,38451
116,2001-09,36432
117,2001-10,36486
118,2001-11,31059
119,2001-12,30227
120,2002-01,30835
121,2002-02,28453
122,2002-03,32365
123,2002-04,33107
124,2002-05,35599
125,2002-06,34519
126,2002-07,36973
127,2002-08,36840
128,2002-09,35111
129,2002-10,35663
130,2002-11,31670
131,2002-12,30250
132,2003-01,30549
133,2003-02,28780
134,2003-03,32562
135,2003-04,31560
136,2003-05,33896
137,2003-06,33511
138,2003-07,36036
139,2003-08,35723
140,2003-09,34508
141,2003-10,35108
142,2003-11,31054
143,2003-12,29710
144,2004-01,29762
145,2004-02,29361
146,2004-03,32726
147,2004-04,32678
148,2004-05,35697
149,2004-06,34865
150,2004-07,36912
151,2004-08,36696
152,2004-09,35330
153,2004-10,36481
154,2004-11,31646
155,2004-12,30584
156,2005-01,30372
157,2005-02,28599
158,2005-03,31837
159,2005-04,33753
160,2005-05,36685
161,2005-06,35252
162,2005-07,37267
163,2005-08,37304
164,2005-09,35731
165,2005-10,36346
166,2005-11,31501
167,2005-12,30172
168,2006-01,30307
169,2006-02,28416
170,2006-03,33063
171,2006-04,34726
172,2006-05,38163
173,2006-06,37537
174,2006-07,39308
175,2006-08,39063
176,2006-09,37534
177,2006-10,38413
178,2006-11,34346
179,2006-12,32399
180,2007-01,32685
181,2007-02,30912
182,2007-03,35457
183,2007-04,36093
184,2007-05,39523
185,2007-06,38059
186,2007-07,40459
187,2007-08,40137
188,2007-09,37834
189,2007-10,38673
190,2007-11,33923
191,2007-12,32335
192,2008-01,32571
193,2008-02,31250
194,2008-03,34242
195,2008-04,36253
196,2008-05,39185
197,2008-06,38223
198,2008-07,39796
199,2008-08,39118
200,2008-09,37483
201,2008-10,38112
202,2008-11,32052
203,2008-12,30367
204,2009-01,29863
205,2009-02,27576
206,2009-03,31514
207,2009-04,33262
208,2009-05,35272
209,2009-06,34317
210,2009-07,36671
211,2009-08,36378
212,2009-09,34186
213,2009-10,34318
214,2009-11,29823
215,2009-12,28189
216,2010-01,28473
217,2010-02,27104
218,2010-03,31377
219,2010-04,26702
220,2010-05,34629
221,2010-06,34356
222,2010-07,37039
223,2010-08,36731
224,2010-09,34588
225,2010-10,35456
226,2010-11,31425
227,2010-12,28508
228,2011-01,30369
229,2011-02,28061
230,2011-03,32890
231,2011-04,35301
232,2011-05,38033
233,2011-06,36927
234,2011-07,39564
235,2011-08,39631
236,2011-09,37606
237,2011-10,38068
238,2011-11,32329
239,2011-12,31570
240,2012-01,31144
241,2012-02,30072
242,2012-03,33879
243,2012-04,35356
244,2012-05,38123
245,2012-06,37453
246,2012-07,40014
247,2012-08,39852
248,2012-09,37488
249,2012-10,37784
250,2012-11,32064
251,2012-12,30224
252,2013-01,29955
253,2013-02,28711
254,2013-03,32994
255,2013-04,35990
256,2013-05,39002
257,2013-06,37816
258,2013-07,40125
259,2013-08,40007
260,2013-09,38275
261,2013-10,38307
262,2013-11,32622
263,2013-12,31780
264,2014-01,31392
265,2014-02,29450
266,2014-03,34033
267,2014-04,36630
268,2014-05,39493
269,2014-06,38789
270,2014-07,41227
271,2014-08,41428
272,2014-09,39685
273,2014-10,39756
274,2014-11,33554
275,2014-12,32859
276,2015-01,32032
277,2015-02,30607
278,2015-03,34599
279,2015-04,37602
280,2015-05,41072
281,2015-06,40070
282,2015-07,42494
283,2015-08,42341
284,2015-09,40558
285,2015-10,40241
286,2015-11,34454
287,2015-12,34609
288,2016-01,33151
289,2016-02,32959
290,2016-03,36903
291,2016-04,39780
292,2016-05,43419
293,2016-06,42418
294,2016-07,45258
295,2016-08,45702
296,2016-09,43186
297,2016-10,43396
298,2016-11,36324
299,2016-12,36367
300,2017-01,35663
301,2017-02,33399
302,2017-03,39435
303,2017-04,41873
304,2017-05,45418
305,2017-06,44011
306,2017-07,46496
307,2017-08,46862
308,2017-09,44273
309,2017-10,44849
310,2017-11,37963
311,2017-12,36498
312,2018-01,37113
313,2018-02,35069
314,2018-03,40059
315,2018-04,41861
316,2018-05,44742
317,2018-06,43499
318,2018-07,45549
319,2018-08,45713
320,2018-09,44198
321,2018-10,45100
322,2018-11,38384
323,2018-12,38157
324,2019-01,37185
325,2019-02,35195
326,2019-03,39785
327,2019-04,41892
328,2019-05,44707
329,2019-06,43343
330,2019-07,44736
331,2019-08,45122
332,2019-09,44131
333,2019-10,44503
334,2019-11,37802
335,2019-12,38425
336,2020-01,37567
337,2020-02,34979
338,2020-03,25155
339,2020-04,4242
340,2020-05,5878
341,2020-06,8118
342,2020-07,15704
343,2020-08,23125
344,2020-09,22162
345,2020-10,19614
346,2020-11,14858
347,2020-12,15902
348,2021-01,14666
349,2021-02,10655
350,2021-03,12220
351,2021-04,13722
352,2021-05,15579
353,2021-06,19195
354,2021-07,29141
355,2021-08,31847
356,2021-09,30019
357,2021-10,31326
358,2021-11,28372
359,2021-12,30225
360,2022-01,26233
361,2022-02,24129
362,2022-03,30382
363,2022-04,33421
364,2022-05,38420
365,2022-06,36921
366,2022-07,36000
367,2022-08,37730
368,2022-09,37027
369,2022-10,36365
370,2022-11,30349
371,2022-12,30669
372,2023-01,29987
373,2023-02,28345
374,2023-03,33128
375,2023-04,36258
376,2023-05,39568
377,2023-06,38912
378,2023-07,40965
379,2023-08,41584
380,2023-09,40625
381,2023-10,41553
382,2023-11,35345
383,2023-12,35699
384,2024-01,35050
385,2024-02,35103
386,2024-03,38223
387,2024-04,39141
